t	x
0	671760
0.0115741	671339
0.0231481	670638
0.0347222	669656
0.0462963	668396
0.0578704	666855
0.0694444	665037
0.0810185	662941
0.0925926	660568
0.104167	657919
0.115741	654995
0.127315	651798
0.138889	648329
0.150463	644589
0.162037	640580
0.173611	636303
0.185185	631761
0.196759	626955
0.208333	621887
0.219907	616559
0.231481	610975
0.243056	605135
0.25463	599042
0.266204	592700
0.277778	586110
0.289352	579275
0.300926	572199
0.3125	564884
0.324074	557333
0.335648	549549
0.347222	541536
0.358796	533297
0.37037	524836
0.381944	516156
0.393519	507260
0.405093	498153
0.416667	488838
0.428241	479319
0.439815	469600
0.451389	459685
0.462963	449579
0.474537	439284
0.486111	428807
0.497685	418151
0.509259	407321
0.520833	396321
0.532407	385155
0.543981	373829
0.555556	362347
0.56713	350715
0.578704	338936
0.590278	327015
0.601852	314959
0.613426	302771
0.625	290457
0.636574	278022
0.648148	265471
0.659722	252810
0.671296	240043
0.68287	227176
0.694444	214215
0.706019	201165
0.717593	188030
0.729167	174818
0.740741	161532
0.752315	148180
0.763889	134765
0.775463	121295
0.787037	107774
0.798611	94208.5
0.810185	80603.6
0.821759	66965.1
0.833333	53298.8
0.844907	39610.3
0.856481	25905.4
0.868056	12189.6
0.87963	-1531.2
0.891204	-15251.4
0.902778	-28965.2
0.914352	-42667
0.925926	-56351.1
0.9375	-70011.7
0.949074	-83643.2
0.960648	-97240
0.972222	-110796
0.983796	-124307
0.99537	-137765
1.00694	-151167
1.01852	-164505
1.03009	-177775
1.04167	-190972
1.05324	-204089
1.06481	-217121
1.07639	-230063
1.08796	-242910
1.09954	-255655
1.11111	-268295
1.12269	-280823
1.13426	-293234
1.14583	-305524
1.15741	-317687
1.16898	-329718
1.18056	-341612
1.19213	-353365
1.2037	-364970
1.21528	-376425
1.22685	-387723
1.23843	-398860
1.25	-409832
1.26157	-420634
1.27315	-431261
1.28472	-441709
1.2963	-451974
1.30787	-462052
1.31944	-471938
1.33102	-481629
1.34259	-491119
1.35417	-500406
1.36574	-509486
1.37731	-518354
1.38889	-527007
1.40046	-535442
1.41204	-543655
1.42361	-551643
1.43519	-559402
1.44676	-566929
1.45833	-574221
1.46991	-581275
1.48148	-588088
1.49306	-594658
1.50463	-600981
1.5162	-607055
1.52778	-612878
1.53935	-618446
1.55093	-623758
1.5625	-628812
1.57407	-633606
1.58565	-638137
1.59722	-642403
1.6088	-646404
1.62037	-650136
1.63194	-653600
1.64352	-656792
1.65509	-659713
1.66667	-662360
1.67824	-664733
1.68981	-666830
1.70139	-668652
1.71296	-670196
1.72454	-671463
1.73611	-672451
1.74769	-673161
1.75926	-673593
1.77083	-673745
1.78241	-673618
1.79398	-673212
1.80556	-672528
1.81713	-671565
1.8287	-670323
1.84028	-668804
1.85185	-667008
1.86343	-664936
1.875	-662588
1.88657	-659966
1.89815	-657071
1.90972	-653903
1.9213	-650465
1.93287	-646757
1.94444	-642781
1.95602	-638538
1.96759	-634032
1.97917	-629262
1.99074	-624232
2.00231	-618943
2.01389	-613398
2.02546	-607599
2.03704	-601547
2.04861	-595247
2.06019	-588700
2.07176	-581909
2.08333	-574877
2.09491	-567606
2.10648	-560101
2.11806	-552363
2.12963	-544396
2.1412	-536204
2.15278	-527789
2.16435	-519155
2.17593	-510307
2.1875	-501246
2.19907	-491978
2.21065	-482506
2.22222	-472834
2.2338	-462965
2.24537	-452905
2.25694	-442657
2.26852	-432225
2.28009	-421614
2.29167	-410828
2.30324	-399872
2.31481	-388749
