t	x
0	1.07034e+06
0.0115741	1.07018e+06
0.0231481	1.0699e+06
0.0347222	1.06952e+06
0.0462963	1.06902e+06
0.0578704	1.06841e+06
0.0694444	1.06769e+06
0.0810185	1.06686e+06
0.0925926	1.06593e+06
0.104167	1.06488e+06
0.115741	1.06372e+06
0.127315	1.06245e+06
0.138889	1.06107e+06
0.150463	1.05958e+06
0.162037	1.05799e+06
0.173611	1.05628e+06
0.185185	1.05446e+06
0.196759	1.05254e+06
0.208333	1.05051e+06
0.219907	1.04836e+06
0.231481	1.04611e+06
0.243056	1.04376e+06
0.25463	1.04129e+06
0.266204	1.03872e+06
0.277778	1.03604e+06
0.289352	1.03325e+06
0.300926	1.03035e+06
0.3125	1.02735e+06
0.324074	1.02424e+06
0.335648	1.02103e+06
0.347222	1.01771e+06
0.358796	1.01429e+06
0.37037	1.01076e+06
0.381944	1.00713e+06
0.393519	1.00339e+06
0.405093	999553
0.416667	995610
0.428241	991563
0.439815	987415
0.451389	983164
0.462963	978812
0.474537	974359
0.486111	969805
0.497685	965151
0.509259	960398
0.520833	955545
0.532407	950593
0.543981	945544
0.555556	940397
0.56713	935152
0.578704	929811
0.590278	924374
0.601852	918842
0.613426	913215
0.625	907493
0.636574	901678
0.648148	895770
0.659722	889769
0.671296	883676
0.68287	877492
0.694444	871218
0.706019	864853
0.717593	858400
0.729167	851857
0.740741	845227
0.752315	838510
0.763889	831706
0.775463	824816
0.787037	817841
0.798611	810781
0.810185	803638
0.821759	796412
0.833333	789103
0.844907	781713
0.856481	774243
0.868056	766693
0.87963	759063
0.891204	751355
0.902778	743570
0.914352	735708
0.925926	727769
0.9375	719756
0.949074	711669
0.960648	703508
0.972222	695274
0.983796	686969
0.99537	678593
1.00694	670147
1.01852	661631
1.03009	653048
1.04167	644397
1.05324	635679
1.06481	626896
1.07639	618048
1.08796	609137
1.09954	600162
1.11111	591126
1.12269	582029
1.13426	572872
1.14583	563655
1.15741	554381
1.16898	545049
1.18056	535661
1.19213	526218
1.2037	516720
1.21528	507169
1.22685	497566
1.23843	487912
1.25	478207
1.26157	468453
1.27315	458650
1.28472	448801
1.2963	438905
1.30787	428963
1.31944	418978
1.33102	408949
1.34259	398878
1.35417	388766
1.36574	378614
1.37731	368423
1.38889	358194
1.40046	347928
1.41204	337626
1.42361	327289
1.43519	316919
1.44676	306516
1.45833	296081
1.46991	285616
1.48148	275121
1.49306	264598
1.50463	254047
1.5162	243471
1.52778	232869
1.53935	222243
1.55093	211595
1.5625	200925
1.57407	190233
1.58565	179523
1.59722	168794
1.6088	158047
1.62037	147284
1.63194	136506
1.64352	125714
1.65509	114909
1.66667	104092
1.67824	93264.3
1.68981	82427.1
1.70139	71581.4
1.71296	60728.2
1.72454	49868.9
1.73611	39004.3
1.74769	28135.8
1.75926	17264.4
1.77083	6391.17
1.78241	-4482.69
1.79398	-15356.1
