t	x
0	-421444
0.0115741	-420377
0.0231481	-418600
0.0347222	-416117
0.0462963	-412931
0.0578704	-409048
0.0694444	-404475
0.0810185	-399220
0.0925926	-393290
0.104167	-386696
0.115741	-379450
0.127315	-371563
0.138889	-363049
0.150463	-353922
0.162037	-344197
0.173611	-333892
0.185185	-323022
0.196759	-311607
0.208333	-299666
0.219907	-287219
0.231481	-274287
0.243056	-260891
0.25463	-247055
0.266204	-232801
0.277778	-218155
0.289352	-203139
0.300926	-187781
0.3125	-172105
0.324074	-156138
0.335648	-139908
0.347222	-123441
0.358796	-106765
0.37037	-89909.5
0.381944	-72901.5
0.393519	-55770.3
0.405093	-38544.9
0.416667	-21254.2
0.428241	-3927.61
0.439815	13405.6
0.451389	30716.2
0.462963	47974.8
0.474537	65152.3
0.486111	82219.5
0.497685	99147.7
0.509259	115908
0.520833	132472
0.532407	148813
0.543981	164901
0.555556	180710
0.56713	196214
0.578704	211385
0.590278	226198
0.601852	240629
0.613426	254652
0.625	268244
0.636574	281382
0.648148	294044
0.659722	306207
0.671296	317852
0.68287	328959
0.694444	339508
0.706019	349483
0.717593	358865
0.729167	367640
0.740741	375792
0.752315	383307
0.763889	390173
0.775463	396378
0.787037	401912
0.798611	406765
0.810185	410928
0.821759	414395
0.833333	417160
0.844907	419219
0.856481	420567
0.868056	421202
0.87963	421124
0.891204	420332
0.902778	418828
0.914352	416615
0.925926	413696
0.9375	410075
0.949074	405760
0.960648	400758
0.972222	395076
0.983796	388725
0.99537	381716
1.00694	374060
1.01852	365770
1.03009	356861
1.04167	347347
1.05324	337245
1.06481	326572
1.07639	315346
1.08796	303586
1.09954	291311
1.11111	278544
1.12269	265304
1.13426	251616
1.14583	237501
1.15741	222985
1.16898	208091
1.18056	192844
1.19213	177272
1.2037	161399
1.21528	145253
1.22685	128861
1.23843	112252
1.25	95452.1
1.26157	78491
1.27315	61397.2
1.28472	44199.4
1.2963	26926.9
1.30787	9608.89
1.31944	-7725.4
1.33102	-25046.6
1.34259	-42325.5
1.35417	-59532.8
1.36574	-76639.5
1.37731	-93616.6
1.38889	-110435
1.40046	-127068
1.41204	-143485
1.42361	-159660
1.43519	-175565
1.44676	-191174
1.45833	-206459
1.46991	-221396
1.48148	-235959
1.49306	-250123
1.50463	-263864
1.5162	-277160
1.52778	-289988
1.53935	-302326
1.55093	-314154
1.5625	-325451
1.57407	-336198
1.58565	-346378
1.59722	-355973
1.6088	-364967
1.62037	-373345
1.63194	-381093
1.64352	-388197
1.65509	-394646
1.66667	-400429
1.67824	-405536
1.68981	-409958
1.70139	-413689
1.71296	-416721
1.72454	-419050
1.73611	-420671
1.74769	-421583
1.75926	-421783
1.77083	-421271
1.78241	-420048
1.79398	-418116
1.80556	-415479
1.81713	-412140
1.8287	-408105
1.84028	-403382
1.85185	-397978
1.86343	-391902
1.875	-385164
1.88657	-377776
1.89815	-369751
1.90972	-361101
1.9213	-351842
1.93287	-341988
1.94444	-331558
1.95602	-320567
1.96759	-309035
1.97917	-296981
1.99074	-284426
2.00231	-271390
2.01389	-257896
2.02546	-243967
2.03704	-229625
2.04861	-214895
2.06019	-199803
2.07176	-184372
2.08333	-168631
2.09491	-152604
2.10648	-136319
2.11806	-119804
2.12963	-103087
2.1412	-86195.1
2.15278	-69157.6
2.16435	-52003.3
2.17593	-34761
2.1875	-17460
2.19907	-129.46
2.21065	17201.3
2.22222	34503
2.2338	51746.3
2.24537	68902.1
2.25694	85941.4
2.26852	102835
2.28009	119555
2.29167	136073
2.30324	152360
2.31481	168389
2.32639	184134
2.33796	199567
2.34954	214662
2.36111	229394
2.37269	243737
2.38426	257668
2.39583	271162
2.40741	284198
2.41898	296752
2.43056	308804
2.44213	320332
2.4537	331318
2.46528	341743
2.47685	351590
2.48843	360840
2.5	369480
2.51157	377494
2.52315	384868
2.53472	391590
2.5463	397649
2.55787	403034
2.56944	407736
2.58102	411748
2.59259	415061
2.60417	417672
2.61574	419575
2.62731	420767
2.63889	421246
2.65046	421012
2.66204	420064
2.67361	418404
2.68519	416035
2.69676	412962
2.70833	409189
2.71991	404723
2.73148	399571
2.74306	393742
2.75463	387245
2.7662	380093
2.77778	372297
2.78935	363871
2.80093	354828
2.8125	345184
2.82407	334955
2.83565	324159
2.84722	312814
2.8588	300940
2.87037	288555
2.88194	275682
2.89352	262343
2.90509	248559
2.91667	234354
2.92824	219753
2.93981	204779
2.95139	189459
2.96296	173819
2.97454	157884
2.98611	141682
2.99769	125240
3.00926	108586
3.02083	91748.8
3.03241	74756.1
3.04398	57637
3.05556	40420.4
3.06713	23135.4
3.0787	5811.3
3.09028	-11522.6
3.10185	-28837.1
3.11343	-46102.8
3.125	-63290.5
3.13657	-80371.3
3.14815	-97316.1
3.15972	-114097
3.1713	-130684
3.18287	-147051
3.19444	-163169
3.20602	-179011
3.21759	-194551
3.22917	-209763
3.24074	-224620
3.25231	-239097
3.26389	-253171
3.27546	-266816
3.28704	-280012
3.29861	-292734
3.31019	-304962
3.32176	-316675
3.33333	-327853
3.34491	-338478
3.35648	-348531
3.36806	-357996
3.37963	-366856
3.3912	-375097
