t	x
0	5
0.01	4.99992
0.02	4.99976
0.03	4.99952
0.04	4.9992
0.05	4.9988
0.06	4.99832
0.07	4.99776
0.08	4.99712
0.09	4.9964
0.1	4.9956
0.11	4.99472
0.12	4.99376
0.13	4.99272
0.14	4.99159
0.15	4.99039
0.16	4.98911
0.17	4.98775
0.18	4.98631
0.19	4.98478
0.2	4.98318
0.21	4.98149
0.22	4.97973
0.23	4.97788
0.24	4.97595
0.25	4.97394
0.26	4.97185
0.27	4.96968
0.28	4.96743
0.29	4.9651
0.3	4.96268
0.31	4.96018
0.32	4.9576
0.33	4.95494
0.34	4.9522
0.35	4.94937
0.36	4.94647
0.37	4.94348
0.38	4.9404
0.39	4.93725
0.4	4.93401
0.41	4.93069
0.42	4.92729
0.43	4.9238
0.44	4.92023
0.45	4.91657
0.46	4.91283
0.47	4.90901
0.48	4.9051
0.49	4.90111
0.5	4.89703
0.51	4.89287
0.52	4.88862
0.53	4.88429
0.54	4.87987
0.55	4.87537
0.56	4.87078
0.57	4.8661
0.58	4.86134
0.59	4.85649
0.6	4.85155
0.61	4.84653
0.62	4.84142
0.63	4.83622
0.64	4.83093
0.65	4.82556
0.66	4.82009
0.67	4.81454
0.68	4.8089
0.69	4.80316
0.7	4.79734
0.71	4.79143
0.72	4.78543
0.73	4.77933
0.74	4.77315
0.75	4.76687
0.76	4.7605
0.77	4.75404
0.78	4.74749
0.79	4.74084
0.8	4.7341
0.81	4.72727
0.82	4.72034
0.83	4.71332
0.84	4.7062
0.85	4.69898
0.86	4.69167
0.87	4.68427
0.88	4.67677
0.89	4.66917
0.9	4.66147
0.91	4.65367
0.92	4.64578
0.93	4.63778
0.94	4.62969
0.95	4.6215
0.96	4.6132
0.97	4.60481
0.98	4.59631
0.99	4.58771
1	4.57901
1.01	4.5702
1.02	4.56129
1.03	4.55228
1.04	4.54316
1.05	4.53393
1.06	4.5246
1.07	4.51516
1.08	4.50561
1.09	4.49596
1.1	4.48619
1.11	4.47632
1.12	4.46633
1.13	4.45623
1.14	4.44603
1.15	4.43571
1.16	4.42527
