t	x
0	664885
0.0578704	650819
0.115741	629745
0.173611	601788
0.231481	567157
0.289352	526151
0.347222	479154
0.405093	426639
0.462963	369158
0.520833	307342
0.578704	241891
0.636574	173561
0.694444	103157
0.752315	31518.9
0.810185	-40497.2
0.868056	-112029
0.925926	-182225
0.983796	-250260
1.04167	-315345
1.09954	-376746
1.15741	-433787
1.21528	-485863
1.27315	-532447
1.33102	-573091
1.38889	-607431
1.44676	-635187
1.50463	-656162
1.5625	-670240
1.62037	-677381
1.67824	-677620
1.73611	-671061
1.79398	-657868
1.85185	-638265
1.90972	-612530
1.96759	-580987
2.02546	-544001
2.08333	-501976
2.1412	-455350
2.19907	-404589
2.25694	-350182
2.31481	-292641
2.37269	-232496
2.43056	-170291
2.48843	-106582
2.5463	-41931.8
2.60417	23087.8
2.66204	87903.5
2.71991	151941
2.77778	214629
2.83565	275400
2.89352	333696
2.95139	388970
3.00926	440690
3.06713	488344
3.125	531441
3.18287	569521
3.24074	602153
3.29861	628948
3.35648	649557
3.41435	663682
3.47222	671081
3.53009	671573
3.58796	665043
3.64583	651451
3.7037	630834
3.76157	603313
3.81944	569093
3.87731	528469
3.93519	481822
3.99306	429619
4.05093	372413
4.1088	310829
4.16667	245567
4.22454	177381
4.28241	107076
4.34028	35488.2
4.39815	-36524.5
4.45602	-108100
4.51389	-178388
4.57176	-246561
4.62963	-311830
4.6875	-373458
4.74537	-430769
4.80324	-483155
4.86111	-530085
4.91898	-571109
4.97685	-605859
5.03472	-634050
5.09259	-655482
5.15046	-670034
5.20833	-677660
5.2662	-678392
5.32407	-672326
5.38194	-659622
5.43981	-640500
5.49769	-615232
5.55556	-584136
5.61343	-547573
5.6713	-505945
5.72917	-459682
5.78704	-409247
5.84491	-355128
5.90278	-297832
5.96065	-237887
6.01852	-175834
6.07639	-112229
6.13426	-47633.4
6.19213	17382.2
6.25	82244.3
6.30787	146378
6.36574	209211
6.42361	270175
6.48148	328709
6.53935	384264
6.59722	436305
6.65509	484316
6.71296	527804
6.77083	566303
6.8287	599380
6.88657	626638
6.94444	647725
7.00231	662338
7.06019	670229
7.11806	671212
7.17593	665168
7.2338	652050
7.29167	631892
7.34954	604809
7.40741	571003
7.46528	530762
7.52315	484466
7.58102	432580
7.63889	375650
7.69676	314302
7.75463	249232
7.8125	181194
7.87037	110990
7.92824	39456.8
7.98611	-32548.9
8.04398	-104166
8.10185	-174541
8.15972	-242849
8.21759	-308298
8.27546	-370151
8.33333	-427729
8.3912	-480422
8.44907	-527696
8.50694	-569098
8.56481	-604255
8.62269	-632881
8.68056	-654769
8.73843	-669793
8.7963	-677904
8.85417	-679127
8.91204	-673555
8.96991	-661341
9.02778	-642701
9.08565	-617900
9.14352	-587253
9.20139	-551116
9.25926	-509885
9.31713	-463988
9.375	-413883
9.43287	-360053
9.49074	-303005
9.54861	-243263
9.60648	-181367
9.66435	-117869
9.72222	-53331.3
9.78009	11676.8
9.83796	76581.8
9.89583	140809
9.9537	203783
10.0116	264936
10.0694	323705
10.1273	379538
10.1852	431897
10.2431	480264
10.3009	524140
10.3588	563057
10.4167	596576
10.4745	624296
10.5324	645861
10.5903	660961
10.6481	669345
10.706	670819
10.7639	665260
10.8218	652618
10.8796	632919
10.9375	606276
10.9954	572884
11.0532	533030
11.1111	487088
11.169	435519
11.2269	378869
11.2847	317760
11.3426	252886
11.4005	184999
11.4583	114900
11.5162	43424.6
