t	x
0	1.06764e+06
0.0578704	1.0621e+06
0.115741	1.05381e+06
0.173611	1.04276e+06
0.231481	1.02898e+06
0.289352	1.01249e+06
0.347222	993321
0.405093	971522
0.462963	947138
0.520833	920225
0.578704	890847
0.636574	859075
0.694444	824987
0.752315	788669
0.810185	750211
0.868056	709714
0.925926	667281
0.983796	623026
1.04167	577063
1.09954	529517
1.15741	480515
1.21528	430189
1.27315	378677
1.33102	326118
1.38889	272658
1.44676	218442
1.50463	163622
1.5625	108348
1.62037	52774.4
1.67824	-2946.02
1.73611	-58658.2
1.79398	-114208
1.85185	-169441
1.90972	-224206
1.96759	-278350
2.02546	-331726
2.08333	-384187
2.1412	-435591
2.19907	-485797
2.25694	-534670
2.31481	-582080
2.37269	-627900
2.43056	-672009
2.48843	-714293
2.5463	-754640
2.60417	-792949
2.66204	-829121
2.71991	-863067
2.77778	-894703
2.83565	-923953
2.89352	-950746
2.95139	-975021
3.00926	-996722
3.06713	-1.0158e+06
3.125	-1.03222e+06
3.18287	-1.04595e+06
3.24074	-1.05695e+06
3.29861	-1.06522e+06
3.35648	-1.07075e+06
3.41435	-1.07352e+06
3.47222	-1.07354e+06
3.53009	-1.07082e+06
3.58796	-1.06539e+06
3.64583	-1.05725e+06
3.7037	-1.04646e+06
3.76157	-1.03303e+06
3.81944	-1.01702e+06
3.87731	-998468
3.93519	-977438
3.99306	-953987
4.05093	-928181
4.1088	-900091
4.16667	-869792
4.22454	-837366
4.28241	-802897
4.34028	-766475
4.39815	-728193
4.45602	-688149
4.51389	-646442
4.57176	-603178
4.62963	-558463
4.6875	-512408
4.74537	-465124
4.80324	-416727
4.86111	-367334
4.91898	-317065
4.97685	-266038
5.03472	-214378
5.09259	-162208
5.15046	-109651
5.20833	-56832.9
5.2662	-3879.77
5.32407	49082.6
5.38194	101928
5.43981	154531
5.49769	206765
5.55556	258506
5.61343	309630
5.6713	360013
5.72917	409535
5.78704	458074
5.84491	505513
5.90278	551735
5.96065	596627
6.01852	640077
6.07639	681977
6.13426	722220
6.19213	760705
6.25	797333
6.30787	832009
6.36574	864642
6.42361	895144
6.48148	923435
6.53935	949436
6.59722	973074
6.65509	994283
6.71296	1.013e+06
6.77083	1.02917e+06
6.8287	1.04274e+06
6.88657	1.05367e+06
6.94444	1.06192e+06
7.00231	1.06746e+06
7.06019	1.07026e+06
7.11806	1.07031e+06
7.17593	1.0676e+06
7.2338	1.06212e+06
7.29167	1.05387e+06
7.34954	1.04287e+06
7.40741	1.02913e+06
7.46528	1.01268e+06
7.52315	993562
7.58102	971806
7.63889	947463
7.69676	920591
7.75463	891251
7.8125	859516
7.87037	825463
7.92824	789178
7.98611	750753
8.04398	710285
8.10185	667881
8.15972	623651
8.21759	577714
8.27546	530190
8.33333	481208
8.3912	430900
8.44907	379404
8.50694	326860
8.56481	273411
8.62269	219206
8.68056	164393
8.73843	109125
8.7963	53554.8
8.85417	-2164.25
8.91204	-57877.3
8.96991	-113430
9.02778	-168669
9.08565	-223440
9.14352	-277594
9.20139	-330982
9.25926	-383457
9.31713	-434876
9.375	-485100
9.43287	-533994
9.49074	-581426
9.54861	-627270
9.60648	-671405
9.66435	-713717
9.72222	-754094
9.78009	-792435
9.83796	-828641
9.89583	-862622
9.9537	-894295
10.0116	-923583
10.0694	-950417
10.1273	-974733
10.1852	-996477
10.2431	-1.0156e+06
10.3009	-1.03207e+06
10.3588	-1.04584e+06
10.4167	-1.05689e+06
10.4745	-1.06521e+06
10.5324	-1.07078e+06
10.5903	-1.0736e+06
10.6481	-1.07367e+06
10.706	-1.07101e+06
10.7639	-1.06562e+06
10.8218	-1.05754e+06
10.8796	-1.04679e+06
10.9375	-1.03341e+06
10.9954	-1.01745e+06
11.0532	-998952
11.1111	-977970
11.169	-954567
11.2269	-928807
11.2847	-900762
11.3426	-870508
11.4005	-838124
11.4583	-803696
11.5162	-767314
